diva;name;lng;lat;lineId;stopId
60200014;Alaudagasse;16.3823688;48.153693;301;4136,4131
60200027;Alser Straße;16.3417561;48.216838;306;4606,4623
60200031;Alte Donau;16.4245899;48.238208;301;4104,4125
60200033;Altes Landgut;16.38351;48.1617819;301;4130,4137
60200048;Schöpfwerk;16.324428;48.1610569;306;4630,4639
60200056;Neubaugasse;16.3525269;48.1991711;303;4923,4918
60200161;Braunschweiggasse;16.2958169;48.18935;304;4407,4430
60200188;Burggasse - Stadthalle;16.3372738;48.20329;306;4609,4620
60200234;Donauinsel;16.411385;48.229178;301;4121,4108
60200245;Stubentor;16.3792788;48.20699;303;4905,4912
60200282;Donaumarina;16.431318;48.206218;302;4268,4255
60200285;Erlaaer Straße;16.316595;48.1422869;306;4637,4632
60200289;Erdberg;16.4141519;48.191375;303;4917,4900
60200290;Donaustadtbrücke;16.439915;48.211708;302;4256,4267
60200299;Aspernstraße;16.4749411;48.2225769;302;4272,4251
60200334;Floridsdorf;16.400515;48.2561899;306;4645,4646
60200357;Friedensbrücke;16.3642861;48.2275269;304;4404,4433
60200399;Zippererstraße;16.4118611;48.180283;303;4935,4940
60200425;Enkplatz;16.4147088;48.17467;303;4936,4939
60200436;Gumpendorfer Straße;16.3375969;48.19083;306;4618,4611
60200473;Hardeggasse;16.4571719;48.220938;302;4270,4253
60200487;Hausfeldstraße;16.485675;48.2335111;302;4279,4274
60200491;Heiligenstadt;16.3658669;48.2484919;304;4435,4402
60200500;Dresdner Straße;16.380043;48.23725;306;4649,4642
60200506;Herrengasse;16.365113;48.2093669;303;4907,4910
60200520;Hietzing;16.304818;48.1875719;304;4428,4409
60200560;Hütteldorf;16.2607819;48.197063;304;4436,4401
60200606;Johnstraße;16.320053;48.197608;303;4926,4925
60200615;Josefstädter Straße;16.3391419;48.21169;306;4607,4622
60200627;Kagran;16.4331511;48.2432811;301;4102,4127
60200633;Kagraner Platz;16.4433561;48.2504238;301;4186,4181
60200641;Kaisermühlen, V.I.C.;16.4163169;48.232745;301;4123,4106
60200653;Kardinal-Nagl-Platz;16.4005869;48.197213;303;4902,4915
60200657;Karlsplatz;16.368903;48.2012488;301,304,302;4109,4416,4202,4120,4213,4421
60200666;Keplerplatz;16.3759802;48.1798572;301;4103,4126
60200670;Kettenbrückengasse;16.3580788;48.1966619;304;4418,4419
60200743;Landstraße;16.3849019;48.2068888;304,303;4425,4412,4904,4913
60200769;Leopoldau;16.4518088;48.2775019;301;4185,4190
60200820;Längenfeldgasse;16.335028;48.1848288;304,306;4437,4612,4617,4438
60200827;Margaretengürtel;16.3430588;48.1884638;304;4415,4422
60200835;Museumsquartier;16.3610611;48.202913;302;4204,4211
60200863;Meidling Hauptstraße;16.32785;48.1836969;304;4424,4413
60200874;Michelbeuern - AKH;16.34429;48.221315;306;4605,4624
60200910;Aspern Nord;16.504738;48.2345338;302;4275,4278
60200916;Nestroyplatz;16.385513;48.215263;301;4115,4114
60200937;Niederhofstraße;16.3311288;48.1808161;306;4613,4616
60200942;Seestadt;16.5083311;48.2261261;302;4276,4277
60200949;Oberlaa;16.400255;48.1421611;301;4133,4134
60200950;Nußdorfer Straße;16.3523738;48.2312788;306;4626,4603
60200956;Ober St. Veit;16.2760811;48.1922788;304;4434,4403
60200981;Ottakring;16.311438;48.21157;303;4931
60201007;Perfektastraße;16.31354;48.136945;306;4636,4633
60201015;Philadelphiabrücke;16.331435;48.1735261;306;4615,4614
60201018;Pilgramgasse;16.3542611;48.1921588;304;4420,4417
60201035;Hütteldorfer Straße;16.3114561;48.199818;303;4928,4933
60201040;Praterstern;16.3933738;48.2186269;302,301;4260,4263,4112,4117
60201062;Spittelau;16.3586;48.234863;304,306;4439,4440,4651,4627
60201072;Rathaus;16.3555188;48.2107438;302;4205,4210
60201095;Reumannplatz;16.3778961;48.174855;301;4128,4101
60201104;Rochusgasse;16.3915861;48.2024038;303;4914,4903
60201124;Roßauer Lände;16.3675288;48.2223438;304;4406,4431
60201182;Schottenring;16.3721011;48.2173761;302,304;4214,4201,4408,4429
60201184;Schottentor;16.3628399;48.21509;302;4203,4212
60201198;Schwedenplatz;16.378093;48.2118811;301,304;4113,4427,4410,4116
60201199;Schlachthausgasse;16.406678;48.1944411;303;4916,4901
60201200;Schweglerstraße;16.3286138;48.1976438;303;4927,4924
60201211;Schönbrunn;16.3188761;48.1860261;304;4411,4426
60201235;Siebenhirten;16.3098661;48.130393;306;4635,4634
60201260;Simmering;16.4195769;48.1705419;303;4938,4937
60201278;Donauspital;16.4656338;48.219603;302;4252,4271
60201299;Stadlau;16.449078;48.219573;302;4269,4254
60201305;Stadtpark;16.379638;48.2028769;304;4414,4423
60201317;Kendlerstraße;16.3092188;48.2045661;303;4929,4932
60201320;Stephansplatz;16.3715538;48.20811;301,303;4118,4911,4111,4906
60201349;Südtiroler Platz;16.373503;48.187188;301;4124,4105
60201366;Taubstummengasse;16.3704038;48.1938;301;4107,4122
60201372;Thaliastraße;16.337948;48.2076611;306;4621,4608
60201394;Tscherttegasse;16.3274819;48.1647661;306;4640,4629
60201404;Unter St. Veit;16.2862319;48.1910569;304;4405,4432
60201430;Volkstheater;16.357585;48.205368;302,303;4209,4908,4909,4206
60201433;Vorgartenstraße;16.4011888;48.2236788;301;4119,4110
60201468;Westbahnhof;16.3391961;48.1969438;306,303;4619,4921,4610,4920
60201481;Neulaa;16.3861238;48.145805;301;4132,4135
60201499;Alterlaa;16.31681;48.15072;306;4631,4638
60201510;Währinger Straße - Volksoper;16.3494911;48.225678;306;4604,4625
60201530;Zieglergasse;16.3462299;48.197195;303;4919,4922
60201573;Troststraße;16.3804738;48.168445;301;4129,4138
60201667;Jägerstraße;16.3686969;48.2352519;306;4650,4641
60201668;Neue Donau;16.39482;48.246398;306;4644,4647
60201705;Handelskai;16.385648;48.2418869;306;4648,4643
60201749;Gasometer;16.4171788;48.184883;303;4934,4941
60201858;Aderklaaer Straße;16.44782;48.2634138;301;4188,4183
60201859;Großfeldsiedlung;16.44782;48.271008;301;4189,4184
60201860;Rennbahnweg;16.4495538;48.2575888;301;4187,4182
60201891;Taborstraße;16.3813719;48.2191661;302;4262,4261
60201892;Messe;16.4050069;48.217795;302;4259,4264
60201893;Krieau;16.41372;48.2146588;302;4265,4258
60201894;Stadion;16.42017;48.2108161;302;4266,4257